index;action;protocol;src1;src2;src_port_operator;src_port;dst1;dst2;dst_port_operator;dst_port;log;comment
10;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;443;172.17.0.0;0.0.255.255;;;;
20;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;8080;172.17.0.0;0.0.255.255;;;;
30;permit;ip;10.{vlanid}.{siteid}.0;24;;;host;192.168.7.11;;;;
40;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;80;host;192.168.2.31;;;;
50;permit;udp;10.{vlanid}.{siteid}.0;24;eq;162;host;192.168.2.31;;;;
60;permit;udp;10.{vlanid}.{siteid}.0;24;eq;161;host;192.168.2.31;;;;
70;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;80;host;192.168.2.32;;;;
80;permit;udp;10.{vlanid}.{siteid}.0;24;eq;162;host;192.168.2.32;;;;
90;permit;udp;10.{vlanid}.{siteid}.0;24;eq;161;host;192.168.2.32;;;;
100;permit;tcp;10.{vlanid}.{siteid}.0;24;;;host;{secondaryserver};eq;9193;;
110;permit;tcp;10.{vlanid}.{siteid}.0;24;;;host;{secondaryserver};eq;9192;;
120;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;9100;host;{secondaryserver};;;;
130;permit;tcp;10.{vlanid}.{siteid}.0;24;;;host;{secondaryserver};eq;9191;;
140;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;80;host;{secondaryserver};;;;
150;permit;udp;10.{vlanid}.{siteid}.0;24;eq;162;host;{secondaryserver};;;;
160;permit;udp;10.{vlanid}.{siteid}.0;24;eq;161;host;{secondaryserver};;;;
170;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;80;host;172.18.5.145;;;;
180;permit;udp;10.{vlanid}.{siteid}.0;24;eq;162;host;172.18.5.145;;;;
190;permit;udp;10.{vlanid}.{siteid}.0;24;eq;161;host;172.18.5.145;;;;
200;permit;udp;10.{vlanid}.{siteid}.0;24;eq;9090;host;172.18.5.145;;;;
210;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;9191;host;172.18.5.141;;;;
220;permit;tcp;10.{vlanid}.{siteid}.0;24;eq;9192;host;172.18.5.141;;;;
230;permit;udp;10.{vlanid}.{siteid}.0;24;eq;68;host;192.168.2.2;eq;67;;
240;permit;udp;host;0.0.0.0;eq;68;host;255.255.255.255;eq;67;;
250;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.18.2.50;eq;123;;
260;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.18.2.50;eq;53;;
270;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.18.2.50;eq;137;;
280;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.18.2.60;eq;53;;
290;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.18.2.60;eq;137;;
300;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.17.2.3;eq;53;;
310;permit;udp;10.{vlanid}.{siteid}.0;24;;;host;172.17.2.3;eq;137;;
320;permit;tcp;10.{vlanid}.{siteid}.0;24;;;host;172.18.3.2;eq;389;;
330;permit;tcp;10.{vlanid}.{siteid}.0;24;;;host;172.17.2.3;eq;389;;
340;permit;tcp;10.{vlanid}.{siteid}.0;24;;;host;172.18.3.39;eq;25;;
350;deny;ip;any;;;;any;;;;log;
